index,target
9-1,すべての人のために、安くて公平に使えることを重視した経済発展と福祉を進めていけるように、質が高く、信頼でき、持続可能な、災害などにも強いインフラをつくる。それには、地域のインフラや国を越えたインフラも含む。
9-2,だれも取り残されない持続可能な産業化をすすめて、2030年までに、それぞれの国の状況に応じて、雇用と国内総生産（GDP）に占める農業や漁業など以外の割合を大きく増やす。もっとも開発が遅れている国については、その割合を2倍にする。
9-3,特に開発途上国の規模の小さな工場や会社が、安く資金を借りるなどの金融サービスをより利用できるようにし、モノやサービスの流れやその市場に、より広く組み込まれるようにする。
9-4,2030年までに、資源をよりむだなく使えるようにし、環境にやさしい技術や生産の方法をより多く取り入れて、インフラや産業を持続可能なものにする。すべての国が、それぞれの能力に応じて、これに取り組む。
9-5,2030年までに、イノベーションをすすめたり、研究や開発の仕事をしている人の100万人あたりの人数を大きくふやしたり、政府と民間（会社など）による研究や開発への支出をふやしたりして、開発途上国をはじめとするすべての国で、さまざまな産業での科学研究をすすめ、技術能力をのばす。
9-a,アフリカの国ぐに、もっとも開発が遅れている国ぐに、内陸の開発途上国、開発途上の小さな島国に対し、資金・テクノロジー・技術面での支援を強めて、開発途上国における、持続可能で、災害にも強いしっかりしたインフラの開発をすすめる。
9-b,さまざまな産業が発展したり、価値のある商品を創り出したりするための政策を整えることなどによって、開発途上国の国内の技術開発や研究、イノベーションを支援する。
9-c,特に、最も開発が遅れている国で、情報通信技術がより広く利用できるようにし、2030年までに安い値段でだれもがインターネットを使えるようにする。
10-1,2030年までに、各国のなかで所得の低いほうから40％の人びとの所得の増え方が、国全体の平均を上回るようにして、そのペースを保つ。
10-2,2030年までに、年齢、性別、障がい、人種、民族、生まれ、宗教、経済状態などにかかわらず、すべての人が、能力を高め、社会的、経済的、政治的に取り残されないようにすすめる。
10-3,差別的な法律、政策やならわしをなくし、適切な法律や政策、行動をすすめることなどによって、人びとが平等な機会（チャンス）をもてるようにし、人びとが得る結果（たとえば所得など）についての格差を減らす。
10-4,財政、賃金、社会保障などに関する政策をとることによって、だんだんと、より大きな平等を達成していく。
10-5,世界の金融市場と金融機関に対するルールと、ルールが守られているか監視するシステムをより良いものにして、ルールが、よりしっかりと実行されるようにする。
10-6,世界経済や金融制度について何か決めるときに、開発途上国の参加や発言を増やすことによって、より効果的で、信頼できる、だれもが納得することのできる制度を作る。
10-7,計画にもとづいてよく管理された移住に関する政策を実施するなどして、混乱がなく安全で、手続きにしたがい責任ある形の移住や人びとの移動をすすめる。
10-a,開発途上国、特にもっとも開発が遅れている国ぐにに対して、世界貿易機関（WTO）協定にしたがって、貿易において、特別な、先進国と異なる扱いをする。
10-b,もっとも開発が遅れている国や、アフリカ諸国、開発途上の小さい島国、内陸の開発途上国などの、もっとも資金を必要とする国ぐにへ、それらの国の計画にそって、政府開発援助や直接投資などの資金が流れるようにする。
10-c,2030年までに、移住労働者が、自分の国にお金を送る時にかかる費用が「送る金額の3％」より低くなるようにし、「送る金額の5％」を超えるような費用がかかる送金方法をなくす。
11-1,2030年までに、すべての人が、住むのに十分で安全な家に、安い値段で住むことができ、基本的なサービスが使えるようにし、都市の貧しい人びとが住む地域（スラム）の状況をよくする。
11-2,2030年までに、女性や子ども、障害のある人、お年寄りなど、弱い立場にある人びとが必要としていることを特によく考え、公共の交通手段を広げるなどして、すべての人が、安い値段で、安全に、持続可能な交通手段を使えるようにする。
11-3,2030年までに、だれも取り残さない持続可能なまちづくりをすすめる。すべての国で、だれもが参加できる形で持続可能なまちづくりを計画し実行できるような能力を高める。
11-4,世界の文化遺産や自然遺産を保護し、保っていくための努力を強化する。
11-5,2030年までに、貧しい人びとや、特に弱い立場にある人びとを守ることを特に考えて、水害などの災害によって命を失う人や被害を受ける人の数を大きく減らす。世界の国内総生産（GDP）に対して災害が直接もたらす経済的な損害を大きく減らす。
11-6,2030年までに、大気の質やごみの処理などに特に注意をはらうなどして、都市に住む人（一人当たり）が環境に与える影響を減らす。
11-7,2030年までに、特に女性や子ども、お年寄りや障がいのある人などをふくめて、だれもが、安全で使いやすい緑地や公共の場所を使えるようにする。
11-a,国や地域の開発の計画を強化して、都市部とそのまわりの地域と農村部とが、経済的、社会的、環境的にうまくつながりあうことを支援する。
11-b,2020年までに、だれも取り残さず、資源を効率的に使い、気候変動への対策や災害への備えをすすめる総合的な政策や計画をつくり、実施する都市やまちの数を大きく増やす。「仙台防災枠組2015-2030」にしたがって、あらゆるレベルで災害のリスクの管理について定め、実施する。
11-c,お金や技術の支援などによって、もっとも開発の遅れている国ぐにで、その国にある資材を使って、持続可能で災害にも強い建物をつくることを支援する。
